id,sem,lem,cer,cg,flex,pron,orto,etim,varia,def,sinta,ex,comp,not
142,142,CAIR,,,,,,,,,,,,
143,143,CAFÉ,,,,,,,,,,,,
144,144,PEÚGA,,,,,,,,,,,,
145,145,MEIA,,,,,,,,,,,,
146,146,SAPATO,,,,,,,,,,,,
147,147,QUENTE,,,,,,,,,,,,
148,148,CALENDÁRIO,,,,,,,,,,,,
149,149,CALOROSO,,,,,,,,,,,,
150,150,CALOR,,,,,,,,,,,,
151,151,PERNA,,,,,,,,,,,,
152,152,TROCAR,,,,,,,,,,,,
153,153,TROCA,,,,,,,,,,,,
154,154,QUARTO,,,,,,,,,,,,
155,155,QUARTO DE BANHO,,,,,,,,,,,,
156,156,LAVABO,,,,,,,,,,,,
157,157,CHAMINÉ,,,,,,,,,,,,
158,158,CAMIÃO,,,,,,,,,,,,
159,159,CAMISA,,,,,,,,,,,,
160,160,CAMINHO,,,,,,,,,,,,
161,161,CAMPAINHA,,,,,,,,,,,,
162,162,CAMPO,,,,,,,,,,,,
163,163,VELA,,,,,,,,,,,,
164,164,CÃO,,,,,,,,,,,,
165,165,CADELA,,,,,,,,,,,,
166,166,CANTAR,,,,,,,,,,,,
167,167,CANÇÃO,,,,,,,,,,,,
168,168,CAPAZ,,,,,,,,,,,,
169,169,CABELO,,,,,,,,,,,,
170,170,CABER,,,,,,,,,,,,
171,171,CABEÇA,,,,,,,,,,,,
172,172,CHEFE,,,,,,,,,,,,
173,173,CHAPÉU,,,,,,,,,,,,
174,174,CABRA,,,,,,,,,,,,
175,175,CARÁCTER,,,,,,,,,,,,
176,176,CARNE,,,,,,,,,,,,
177,177,CARO,,,,,,,,,,,,
178,178,CARTA,,,,,,,,,,,,
179,179,CÂMARA MUNICIPAL,,,,,,,,,,,,
180,180,CASA,,,,,,,,,,,,
181,181,QUEIJO,,,,,,,,,,,,
182,182,CASO,,,,,,,,,,,,
183,183,CAIXA,,,,,,,,,,,,
184,184,GAVETA,,,,,,,,,,,,
185,185,ESPANHOL,,,,,,,,,,,,
186,186,CASTELO,,,,,,,,,,,,
187,187,CADA,,,,,,,,,,,,
188,188,CATALÃO,,,,,,,,,,,,
189,189,GATO,,,,,,,,,,,,
190,190,CAÇAR,,,,,,,,,,,,
191,191,RABO,,,,,,,,,,,,
192,192,COISA,,,,,,,,,,,,
193,193,CAUSA,,,,,,,,,,,,
194,194,CAVALO,,,,,,,,,,,,
195,195,CAVAR,,,,,,,,,,,,
196,196,COVA,,,,,,,,,,,,
197,197,CEGO,,,,,,,,,,,,
198,198,CÉU,,,,,,,,,,,,
199,199,JANTAR,,,,,,,,,,,,
200,200,JANTAR,,,,,,,,,,,,
201,201,CINZA,,,,,,,,,,,,
202,202,CEM,,,,,,,,,,,,
203,203,CENTRO,,,,,,,,,,,,
204,204,PROCURAR,,,,,,,,,,,,
205,205,CEREJA,,,,,,,,,,,,
206,206,CERTO,,,,,,,,,,,,
207,207,CERVEJA,,,,,,,,,,,,
208,208,VIOLÃO,,,,,,,,,,,,
209,209,CIGARRO,,,,,,,,,,,,
210,210,CINEMA,,,,,,,,,,,,
211,211,CINQUENTA,,,,,,,,,,,,
212,212,CINCO,,,,,,,,,,,,
213,213,CHOCOLATE,,,,,,,,,,,,
214,214,CIDADE,,,,,,,,,,,,
215,215,CHAMAR,,,,,,,,,,,,
216,216,CHAMAR-SE,,,,,,,,,,,,
217,217,CLARO,,,,,,,,,,,,
218,218,CLASSE,,,,,,,,,,,,
219,219,CERRAR,,,,,,,,,,,,
220,220,FECHADO,,,,,,,,,,,,
221,221,CHAVE,,,,,,,,,,,,
222,222,PREGO,,,,,,,,,,,,
223,223,CLIMA,,,,,,,,,,,,
224,224,COZINHA,,,,,,,,,,,,
225,225,APELIDO,,,,,,,,,,,,
226,226,AGARRAR,,,,,,,,,,,,
227,227,LÁ,,,,,,,,,,,,
228,228,COLHER,,,,,,,,,,,,
229,229,PESCOÇO,,,,,,,,,,,,
230,230,DEITAR-SE,,,,,,,,,,,,
231,231,POMBO,,,,,,,,,,,,
232,232,COR,,,,,,,,,,,,
233,233,GOLPEAR,,,,,,,,,,,,
234,234,PANCADA,,,,,,,,,,,,
235,235,FACA,,,,,,,,,,,,
236,236,COMEÇAR,,,,,,,,,,,,
237,237,PAPAGAIO M DE PAPEL,,,,,,,,,,,,
238,238,COMO,,,,,,,,,,,,
239,239,COMO,,,,,,,,,,,,
240,240,COMPANHEIRO,,,,,,,,,,,,
241,241,LÁSTIMA,,,,,,,,,,,,
242,242,CUMPRIR,,,,,,,,,,,,
243,243,COMPLETAR,,,,,,,,,,,,
244,244,COMPRAR,,,,,,,,,,,,
245,245,COMPREENDER,,,,,,,,,,,,
246,246,COM,,,,,,,,,,,,
247,247,CONDUZIR,,,,,,,,,,,,
248,248,COELHO,,,,,,,,,,,,
249,249,CONHECER,,,,,,,,,,,,
250,250,CONSEGUIR,,,,,,,,,,,,
251,251,CONSERVAR,,,,,,,,,,,,
252,252,CONSIDERAR,,,,,,,,,,,,
253,253,CONSTRUIR,,,,,,,,,,,,
254,254,CONTAR,,,,,,,,,,,,
255,255,CONTENTE,,,,,,,,,,,,
256,256,CONTINUAR,,,,,,,,,,,,
257,257,CONTO,,,,,,,,,,,,
258,258,CONTA,,,,,,,,,,,,
259,259,CONTRA,,,,,,,,,,,,
260,260,CONVIR,,,,,,,,,,,,
261,261,CORAÇÃO,,,,,,,,,,,,
262,262,CORNO,,,,,,,,,,,,
263,263,CORPO,,,,,,,,,,,,
264,264,CORRETO,,,,,,,,,,,,
265,265,CORRER,,,,,,,,,,,,
266,266,CORRIDA,,,,,,,,,,,,
267,267,CURSO,,,,,,,,,,,,
268,268,CURSO,,,,,,,,,,,,
269,269,PÁTIO,,,,,,,,,,,,
270,270,CURTO,,,,,,,,,,,,
271,271,GRAVATA,,,,,,,,,,,,
272,272,COSTURAR,,,,,,,,,,,,
273,273,ASSIM,,,,,,,,,,,,
274,274,PRIMA,,,,,,,,,,,,
275,275,PRIMO,,,,,,,,,,,,
276,276,COSTA,,,,,,,,,,,,
277,277,COSTUME,,,,,,,,,,,,
278,278,COTOVELO,,,,,,,,,,,,
279,279,CRER,,,,,,,,,,,,
280,280,CRESCER,,,,,,,,,,,,
281,281,CRUZAR,,,,,,,,,,,,
282,282,AQUILO,,,,,,,,,,,,
283,283,AQUELE,,,,,,,,,,,,
284,284,AQUELE,,,,,,,,,,,,
285,285,ISSO,,,,,,,,,,,,
286,286,ESSE,,,,,,,,,,,,
287,287,ESSE,,,,,,,,,,,,
288,288,ISTO,,,,,,,,,,,,
289,289,ESTE,,,,,,,,,,,,
290,290,ESTE,,,,,,,,,,,,
291,291,AQUI,,,,,,,,,,,,
292,292,CUJO,,,,,,,,,,,,
293,293,CUIDADO,,,,,,,,,,,,
294,294,CUIDAR,,,,,,,,,,,,
295,295,DO,,,,,,,,,,,,
296,296,DAR,,,,,,,,,,,,
297,297,DATA,,,,,,,,,,,,
298,298,DE,,,,,,,,,,,,
299,299,DE,,,,,,,,,,,,
300,300,CEDO,,,,,,,,,,,,
301,301,DO,,,,,,,,,,,,
302,302,ADEMAIS,,,,,,,,,,,,
303,303,DABATE,,,,,,,,,,,,
304,304,DEBATER,,,,,,,,,,,,
305,305,DEZ,,,,,,,,,,,,
306,306,DEZEMBRO,,,,,,,,,,,,
307,307,DEZANOVE,,,,,,,,,,,,
308,308,DEZOITO,,,,,,,,,,,,
309,309,DEZASSETE,,,,,,,,,,,,
310,310,DECIDIR,,,,,,,,,,,,
311,311,DÉCIMO,,,,,,,,,,,,
312,312,UNDÉCIMO,,,,,,,,,,,,
313,313,DEDO,,,,,,,,,,,,
314,314,PERGUNTA,,,,,,,,,,,,
315,315,PERGUNTAR,,,,,,,,,,,,
316,316,DINHEIRO,,,,,,,,,,,,
317,317,DENTE,,,,,,,,,,,,
318,318,DENTISTA,,,,,,,,,,,,
319,319,DESPIR-SE,,,,,,,,,,,,
320,320,DEUS,,,,,,,,,,,,
321,321,DEPOIS DE AMANHÃ,,,,,,,,,,,,
322,322,DEPRESSA,,,,,,,,,,,,
323,323,DIREITA,,,,,,,,,,,,
324,324,DIREITO,,,,,,,,,,,,
325,325,DIREITO,,,,,,,,,,,,
326,326,DESDE,,,,,,,,,,,,
327,327,CEGO,,,,,,,,,,,,
328,328,DESENHAR,,,,,,,,,,,,
329,329,SEGUIDA,,,,,,,,,,,,
330,330,DESEJAR,,,,,,,,,,,,
331,331,TOMAR O PEQUENO ALMOÇO,,,,,,,,,,,,
332,332,PEQUELO ALMOÇO,,,,,,,,,,,,
333,333,GASTAR,,,,,,,,,,,,
334,334,DEVER,,,,,,,,,,,,
335,335,DIA,,,,,,,,,,,,
336,336,DIA,,,,,,,,,,,,
337,337,DIÁRIO,,,,,,,,,,,,
338,338,DIZER,,,,,,,,,,,,
339,339,DIFERENÇA,,,,,,,,,,,,
340,340,DIFÍCIL,,,,,,,,,,,,
341,341,DIRIGIR,,,,,,,,,,,,
342,342,DISCO,,,,,,,,,,,,
343,343,DIFERENTE,,,,,,,,,,,,
344,344,DIVERTIR-SE,,,,,,,,,,,,
345,345,DIVIDIR,,,,,,,,,,,,
346,346,CHUVEIRO,,,,,,,,,,,,
347,347,DÚZIA,,,,,,,,,,,,
348,348,DOUTOR EN MEDICINA,,,,,,,,,,,,
349,349,DOZE,,,,,,,,,,,,
350,350,DOCE,,,,,,,,,,,,
351,351,DOER,,,,,,,,,,,,
352,352,DOR,,,,,,,,,,,,
353,353,DOMINGO,,,,,,,,,,,,
354,354,PRENDA,,,,,,,,,,,,
355,355,PORTANTO,,,,,,,,,,,,
356,356,DOIS,,,,,,,,,,,,
357,357,DUZENTOS,,,,,,,,,,,,
358,358,DUPLO,,,,,,,,,,,,
359,359,DORMIR,,,,,,,,,,,,
360,360,DORMITÓRIO,,,,,,,,,,,,
361,361,COSTAS,,,,,,,,,,,,
362,362,DÚVIDA,,,,,,,,,,,,
363,363,DURANTE,,,,,,,,,,,,
364,364,DURAR,,,,,,,,,,,,
365,365,DURO,,,,,,,,,,,,
366,366,IGREJA,,,,,,,,,,,,
367,367,EFEITO,,,,,,,,,,,,
368,368,ELÉTRICO,,,,,,,,,,,,
369,369,ELEFANTE,,,,,,,,,,,,
370,370,ESCOLHER,,,,,,,,,,,,
371,371,HELENA,,,,,,,,,,,,
372,372,ELA,,,,,,,,,,,,
