id,sem,lem,cer,cg,flex,pron,orto,etim,varia,def,sinta,ex,comp,not
141,141,CHIER,,,,,,,,,,,,
142,142,TOMBER,,,,,,,,,,,,
143,143,CAFÉ,,,,,,,,,,,,
144,144,CHAUSSETTE,,,,,,,,,,,,
145,145,BAS,,,,,,,,,,,,
146,146,SOULIER,,,,,,,,,,,,
147,147,CHAUD,,,,,,,,,,,,
148,148,CALENDRIER,,,,,,,,,,,,
149,149,CHAUD,,,,,,,,,,,,
150,150,CHALEUR,,,,,,,,,,,,
151,151,JAMBE,,,,,,,,,,,,
152,152,CHANGER,,,,,,,,,,,,
153,153,ÉCHANGE,,,,,,,,,,,,
154,154,PIÈCE,,,,,,,,,,,,
155,155,SALLE DE BAINS,,,,,,,,,,,,
156,156,CABINET DE TOILETTE,,,,,,,,,,,,
157,157,FOYER,,,,,,,,,,,,
158,158,CAMION,,,,,,,,,,,,
159,159,CHEMISE,,,,,,,,,,,,
160,160,CHEMIN,,,,,,,,,,,,
161,161,SONNETTE,,,,,,,,,,,,
162,162,CHAMP,,,,,,,,,,,,
163,163,BOUGIE,,,,,,,,,,,,
164,164,CHIEN,,,,,,,,,,,,
165,165,CHIENNE,,,,,,,,,,,,
166,166,CHANTER,,,,,,,,,,,,
167,167,CHANSON,,,,,,,,,,,,
168,168,CAPABLE,,,,,,,,,,,,
169,169,CHEVEU,,,,,,,,,,,,
170,170,CONTENIR,,,,,,,,,,,,
171,171,TÊTE,,,,,,,,,,,,
172,172,CHEF,,,,,,,,,,,,
173,173,CHAPEAU,,,,,,,,,,,,
174,174,CHÈVRE,,,,,,,,,,,,
175,175,CARACTÈRE,,,,,,,,,,,,
176,176,CHAIR ,,,,,,,,,,,,
177,177,CHER,,,,,,,,,,,,
178,178,CARTE,,,,,,,,,,,,
179,179,MAIRIE,,,,,,,,,,,,
180,180,MAISON,,,,,,,,,,,,
181,181,FROMAGE,,,,,,,,,,,,
182,182,CAS,,,,,,,,,,,,
183,183,BOÎTE,,,,,,,,,,,,
184,184,TIROIR,,,,,,,,,,,,
185,185,ESPAGNOL,,,,,,,,,,,,
186,186,CHÂTEAU,,,,,,,,,,,,
187,187,CHAQUE,,,,,,,,,,,,
188,188,CATALAN,,,,,,,,,,,,
189,189,CHAT,,,,,,,,,,,,
190,190,CHASSER,,,,,,,,,,,,
191,191,QUEUE,,,,,,,,,,,,
192,192,CHOSE,,,,,,,,,,,,
193,193,CAUSE,,,,,,,,,,,,
194,194,CHEVAL,,,,,,,,,,,,
195,195,CREUSER,,,,,,,,,,,,
196,196,GROTTE,,,,,,,,,,,,
197,197,AVEUGLE,,,,,,,,,,,,
198,198,CIEL,,,,,,,,,,,,
199,199,DÎNER,,,,,,,,,,,,
200,200,DÎNER,,,,,,,,,,,,
201,201,CENDRE,,,,,,,,,,,,
202,202,CENT,,,,,,,,,,,,
203,203,CENTRE,,,,,,,,,,,,
204,204,CHERCHER,,,,,,,,,,,,
205,205,CERISE,,,,,,,,,,,,
206,206,CERTAIN,,,,,,,,,,,,
207,207,BIÈRE,,,,,,,,,,,,
208,208,GUITARE,,,,,,,,,,,,
209,209,CIGARETTE,,,,,,,,,,,,
210,210,CINÉMA,,,,,,,,,,,,
211,211,CINQUANTE,,,,,,,,,,,,
212,212,CINQ,,,,,,,,,,,,
213,213,CHOCOLAT,,,,,,,,,,,,
214,214,VILLE,,,,,,,,,,,,
215,215,APPELER,,,,,,,,,,,,
216,216,APPELER ,,,,,,,,,,,,
217,217,CLAIR,,,,,,,,,,,,
218,218,CLASSE,,,,,,,,,,,,
219,219,FERMER,,,,,,,,,,,,
220,220,FERMÉ,,,,,,,,,,,,
221,221,CLEF,,,,,,,,,,,,
222,222,CLOU,,,,,,,,,,,,
223,223,CLIMAT,,,,,,,,,,,,
224,224,CUISINE,,,,,,,,,,,,
225,225,NOM DE FAMILLE,,,,,,,,,,,,
226,226,PRENDRE,,,,,,,,,,,,
227,227,LÀ-BAS,,,,,,,,,,,,
228,228,CUILLÈRE,,,,,,,,,,,,
229,229,COU,,,,,,,,,,,,
230,230,COUCHER ,,,,,,,,,,,,
231,231,PIGEON,,,,,,,,,,,,
232,232,COULEUR,,,,,,,,,,,,
233,233,FRAPPER,,,,,,,,,,,,
234,234,COUP,,,,,,,,,,,,
235,235,COUTEAU,,,,,,,,,,,,
236,236,COMMENCER,,,,,,,,,,,,
237,237,CERF-VOLANT,,,,,,,,,,,,
238,238,COMMENT,,,,,,,,,,,,
239,239,COMME,,,,,,,,,,,,
240,240,COMPAGNON,,,,,,,,,,,,
241,241,DOMMAGE,,,,,,,,,,,,
242,242,ACCOMPLIR,,,,,,,,,,,,
243,243,COMPLÉTER,,,,,,,,,,,,
244,244,ACHETER,,,,,,,,,,,,
245,245,COMPRENDRE,,,,,,,,,,,,
246,246,AVEC,,,,,,,,,,,,
247,247,CONDUIRE,,,,,,,,,,,,
248,248,LAPIN,,,,,,,,,,,,
249,249,CONNAÎTRE,,,,,,,,,,,,
250,250,PARVENIR À,,,,,,,,,,,,
251,251,CONSERVER,,,,,,,,,,,,
252,252,CONSIDÉRER,,,,,,,,,,,,
253,253,CONSTRUIRE,,,,,,,,,,,,
254,254,COMPTER,,,,,,,,,,,,
255,255,CONTENT,,,,,,,,,,,,
256,256,CONTINUER,,,,,,,,,,,,
257,257,CONTE,,,,,,,,,,,,
258,258,COMPTE,,,,,,,,,,,,
259,259,CONTRE,,,,,,,,,,,,
260,260,CONVENIR,,,,,,,,,,,,
261,261,CŒUR,,,,,,,,,,,,
262,262,CORNE,,,,,,,,,,,,
263,263,CORPS,,,,,,,,,,,,
264,264,CORRECT,,,,,,,,,,,,
265,265,COURIR,,,,,,,,,,,,
266,266,COURSE,,,,,,,,,,,,
267,267,COURS,,,,,,,,,,,,
268,268,COURS,,,,,,,,,,,,
269,269,COUR,,,,,,,,,,,,
270,270,COURT,,,,,,,,,,,,
271,271,CRAVATE,,,,,,,,,,,,
272,272,COUDRE,,,,,,,,,,,,
273,273,AINSI,,,,,,,,,,,,
274,274,COUSINE,,,,,,,,,,,,
275,275,COUSIN,,,,,,,,,,,,
276,276,CÔTE,,,,,,,,,,,,
277,277,HABITUDE,,,,,,,,,,,,
278,278,COUDE,,,,,,,,,,,,
279,279,CROIRE,,,,,,,,,,,,
280,280,CROÎTRE,,,,,,,,,,,,
281,281,CROISER,,,,,,,,,,,,
282,282,CELA,,,,,,,,,,,,
283,283,CE,,,,,,,,,,,,
284,284,CELUI-LÀ,,,,,,,,,,,,
285,285,CELA,,,,,,,,,,,,
286,286,CE,,,,,,,,,,,,
287,287,CELUI-LÀ,,,,,,,,,,,,
288,288,CECI,,,,,,,,,,,,
289,289,CE,,,,,,,,,,,,
290,290,CELUI-CI,,,,,,,,,,,,
291,291,ICI,,,,,,,,,,,,
292,292,DONT LE,,,,,,,,,,,,
293,293,SOIN,,,,,,,,,,,,
294,294,SOIGNER,,,,,,,,,,,,
295,295,DU,,,,,,,,,,,,
296,296,DONNER,,,,,,,,,,,,
297,297,DATE,,,,,,,,,,,,
298,298,DE,,,,,,,,,,,,
299,299,DE,,,,,,,,,,,,
300,300,TÔT,,,,,,,,,,,,
301,301,DU,,,,,,,,,,,,
302,302,PLUS ,,,,,,,,,,,,
303,303,DÉBAT,,,,,,,,,,,,
304,304,DÉBATTRE,,,,,,,,,,,,
305,305,DIX,,,,,,,,,,,,
306,306,DÉCEMBRE,,,,,,,,,,,,
307,307,DIX-NEUF,,,,,,,,,,,,
308,308,DIX-HUIT,,,,,,,,,,,,
309,309,DIX-SEPT,,,,,,,,,,,,
310,310,DÉCIDER,,,,,,,,,,,,
311,311,DIXIÈME,,,,,,,,,,,,
312,312,ONZIÈME,,,,,,,,,,,,
313,313,DOIGT,,,,,,,,,,,,
314,314,QUESTION,,,,,,,,,,,,
315,315,DEMANDER,,,,,,,,,,,,
316,316,ARGENT,,,,,,,,,,,,
317,317,DENT,,,,,,,,,,,,
318,318,DENTISTE,,,,,,,,,,,,
319,319,DÉSHABILLER ,,,,,,,,,,,,
320,320,DIEU,,,,,,,,,,,,
321,321,APRÈS-DEMAIN,,,,,,,,,,,,
322,322,EN HÂTE,,,,,,,,,,,,
323,323,DROITE,,,,,,,,,,,,
324,324,DROIT,,,,,,,,,,,,
325,325,DROIT,,,,,,,,,,,,
326,326,DEPUIS,,,,,,,,,,,,
327,327,ÉMOUSSÉ,,,,,,,,,,,,
328,328,DESSINER,,,,,,,,,,,,
329,329,SUITE ,,,,,,,,,,,,
330,330,DÉSIRER,,,,,,,,,,,,
331,331,PRENDRE LE PETIT DÉJEUNER,,,,,,,,,,,,
332,332,PETIT DÉJEUNER,,,,,,,,,,,,
333,333,DÉPENSER,,,,,,,,,,,,
334,334,DEVOIR,,,,,,,,,,,,
335,335,JOUR,,,,,,,,,,,,
336,336,JOURNÉE,,,,,,,,,,,,
337,337,JOURNAL,,,,,,,,,,,,
338,338,DIRE,,,,,,,,,,,,
339,339,DIFFÉRENCE,,,,,,,,,,,,
340,340,DIFFICILE,,,,,,,,,,,,
341,341,DIRIGER,,,,,,,,,,,,
342,342,DISQUE,,,,,,,,,,,,
343,343,DIFFÉRENT,,,,,,,,,,,,
344,344,AMUSER ,,,,,,,,,,,,
345,345,DIVISER,,,,,,,,,,,,
