id,sem,lem,cer,cg,flex,pron,orto,etim,varia,def,sinta,ex,comp,not
126,126,BLANCO,,adj,,,,,,,,,,
127,127,BLAVO,,adj,,,,,,,,,,
128,128,BLUSA,,sf,,,,,,,,,,
129,129,BOCCA,,sf,,,,,,,,,,
130,130,BÒNO,,adj,,,,,,,,,,
131,131,BÒNO MERCATO,,adj,,,,,,,,,,
132,132,BORSA DE MANO,,sf,,,,,,,,,,
133,133,BORSA,,sf,,,,,,,,,,
134,134,BOTTA,,sf,,,,,,,,,,
135,135,BOTTECLA,,sf,,,,,,,,,,
136,136,BOTTONE,,sm,,,,,,,,,,
137,137,BRACCÎO,,sm,,,,,,,,,,
138,138,BROTSA,,sf,,,,,,,,,,
139,139,BUTIRRO,,sm,,,,,,,,,,
140,140,CABBIA,,sf,,,,,,,,,,
141,141,CACARE,,vi,,,,,,,,,,
142,142,CADERE,,vi,,,,,,,,,,
143,143,CAFFÈ,,sm,,,,,,,,,,
144,144,CALCETTA,,sf,,,,,,,,,,
145,145,CALCÎA,,sf,,,,,,,,,,
146,146,CALCÎO,,sm,,,,,,,,,,
147,147,CALDO,,adj,,,,,,,,,,
148,148,CALENDARIO,,sm,,,,,,,,,,
149,149,CÀLIDO,,adj,,,,,,,,,,
150,150,CALORE,,sm,,,,,,,,,,
151,151,CAMBA,,sf,,,,,,,,,,
152,152,CAMBIARE,,vt,,,,,,,,,,
153,153,CAMBIO,,sm,,,,,,,,,,
154,154,CÀMERA,,sf,,,,,,,,,,
155,155,CÀMERA DE BANNÎO,,sf,,,,,,,,,,
156,156,CÀMERA DE SERVITIO,,sf,,,,,,,,,,
157,157,CAMINO,,sm,,,,,,,,,,
158,158,CAMIONE,,sm,,,,,,,,,,
159,159,CAMISÎA,,sf,,,,,,,,,,
160,160,CAMMINO,,sm,,,,,,,,,,
161,161,CAMPANÈLLA,,sf,,,,,,,,,,
162,162,CAMPO,,sm,,,,,,,,,,
163,163,CANDELA,,sf,,,,,,,,,,
164,164,CANE,,sm,,,,,,,,,,
165,165,CANNÎA,,sf,,,,,,,,,,
166,166,CANTARE,,vti,,,,,,,,,,
167,167,CANTSONE,,sf,,,,,,,,,,
168,168,CAPACE,,adj,,,,,,,,,,
169,169,CAPELLO,,sm,,,,,,,,,,
170,170,CÀPERE,,vi,,,,,,,,,,
171,171,CAPO,,sm,,,,,,,,,,
172,172,CAPO,,sm,,,,,,,,,,
173,173,CAPPÈLLO,,sm,,,,,,,,,,
174,174,CAPRA,,sf,,,,,,,,,,
175,175,CARÀCTERE,,sm,,,,,,,,,,
176,176,CARNE,,sf,,,,,,,,,,
177,177,CARO,,adj,,,,,,,,,,
178,178,CARTA,,sf,,,,,,,,,,
179,179,CASA MUNICIPALE,,sf,,,,,,,,,,
180,180,CASA,,sf,,,,,,,,,,
181,181,CASÎO,,sm,,,,,,,,,,
182,182,CASO,,sm,,,,,,,,,,
183,183,CASSA,,sf,,,,,,,,,,
184,184,CASSETTA,,sf,,,,,,,,,,
185,185,CASTELLANO,,sm,,,,,,,,,,
186,186,CASTÈLLO,,sm,,,,,,,,,,
187,187,CATA,,adj,,,,,,,,,,
188,188,CATALANO,,sm,,,,,,,,,,
189,189,CATTO,,sm,,,,,,,,,,
190,190,CATTSARE,,vt,,,,,,,,,,
191,191,CAUDA,,sf,,,,,,,,,,
192,192,CAUSA,,sf,,,,,,,,,,
193,193,CÀUSA,,sf,,,,,,,,,,
194,194,CAVALLO,,sm,,,,,,,,,,
195,195,CAVARE,,vt,,,,,,,,,,
196,196,CAVÈRNA,,sf,,,,,,,,,,
197,197,CÈCO,,adj,,,,,,,,,,
198,198,CÈLO,,sm,,,,,,,,,,
199,199,CENA,,sf,,,,,,,,,,
200,200,CENARE,,vti,,,,,,,,,,
201,201,CÉNERE,,sf,,,,,,,,,,
202,202,CÈNTO,,adj,,,,,,,,,,
203,203,CÈNTRO,,sm,,,,,,,,,,
204,204,CERCARE,,vt,,,,,,,,,,
205,205,CERÈSÎA,,sf,,,,,,,,,,
206,206,CÈRTO,,adj,,,,,,,,,,
207,207,CERVESÎA,,sf,,,,,,,,,,
208,208,CHITARRA,,sf,,,,,,,,,,
209,209,CIGARRETTO,,sm,,,,,,,,,,
210,210,CÍNEMA,,sm,,,,,,,,,,
211,211,CINQUANTA,,adj,,,,,,,,,,
212,212,CINQUE,,adj,,,,,,,,,,
213,213,CÎOCOLATE,,sm,,,,,,,,,,
214,214,CIVTATE,,sf,,,,,,,,,,
215,215,CLAMARE,,vt,,,,,,,,,,
216,216,CLAMARE-SE,,vr,,,,,,,,,,
217,217,CLARO,,adj,,,,,,,,,,
218,218,CLASSE,,sf,,,,,,,,,,
219,219,CLÀUDERE,,vt,,,,,,,,,,
220,220,CLAUSO,,adj,,,,,,,,,,
221,221,CLAVE,,sf,,,,,,,,,,
222,222,CLAVO,,sm,,,,,,,,,,
223,223,CLIMA,,sm,,,,,,,,,,
224,224,COCINA,,sf,,,,,,,,,,
225,225,COGNOME,,sm,,,,,,,,,,
226,226,COLLÉGERE,,vt,,,,,,,,,,
227,227,COLLÍ,,adv,,,,,,,,,,
228,228,COLLÎARIA,,sf,,,,,,,,,,
229,229,CÒLLO,,sm,,,,,,,,,,
230,230,COLLOCARE-SE,,vr,,,,,,,,,,
231,231,COLOMBO,,sm,,,,,,,,,,
232,232,COLORE,,sm,,,,,,,,,,
233,233,COLPIRE,,vt,,,,,,,,,,
234,234,CÒLPO,,sm,,,,,,,,,,
235,235,COLTÈLLO,,sm,,,,,,,,,,
236,236,COMENTSARE,,vti,,,,,,,,,,
237,237,COMÈTA,,sf,,,,,,,,,,
238,238,COMO,,adv,,,,,,,,,,
239,239,COMO,,conj,,,,,,,,,,
240,240,COMPANNÎONE,,sm,,,,,,,,,,
241,241,COMPASSIONE,,sf,,,,,,,,,,
242,242,COMPLERE,,vt,,,,,,,,,,
243,243,COMPLETARE,,vt,,,,,,,,,,
244,244,COMPRARE,,vt,,,,,,,,,,
245,245,COMPRÈNDERE,,vt,,,,,,,,,,
246,246,CON,,prep,,,,,,,,,,
247,247,CONDÚCERE,,vt,,,,,,,,,,
248,248,CONICLO,,sm,,,,,,,,,,
249,249,CONÓSCERE,,vt,,,,,,,,,,
250,250,CONSEQUIRE,,vt,,,,,,,,,,
251,251,CONSERVARE,,vt,,,,,,,,,,
252,252,CONSIDERARE,,vt,,,,,,,,,,
253,253,CONSTRUIRE,,vt,,,,,,,,,,
254,254,CONTARE,,vt,,,,,,,,,,
255,255,CONTÈNTO,,adj,,,,,,,,,,
256,256,CONTINUARE,,vti,,,,,,,,,,
257,257,CÒNTO,,sm,,,,,,,,,,
258,258,CÒNTO,,sm,,,,,,,,,,
259,259,CÒNTRA,,prep,,,,,,,,,,
260,260,CONVENIRE,,vi,,,,,,,,,,
261,261,CÒRE,,sm,,,,,,,,,,
262,262,CÒRNO,,sm,,,,,,,,,,
263,263,CÒRPO,,sm,,,,,,,,,,
264,264,CORRÈCTO,,adj,,,,,,,,,,
265,265,CÓRRERE,,vi,,,,,,,,,,
266,266,CORSA,,sf,,,,,,,,,,
267,267,CORSO,,sm,,,,,,,,,,
268,268,CORSO,,sm,,,,,,,,,,
269,269,CORTE,,sm,,,,,,,,,,
270,270,CORTO,,adj,,,,,,,,,,
271,271,CORVATTA,,sf,,,,,,,,,,
272,272,CÓSERE,,vt,,,,,,,,,,
